func_ov011_0212b160 kind:function(arm,size=0x2c) addr:0x0212b160
func_ov011_0212b18c kind:function(arm,size=0x1c) addr:0x0212b18c
func_ov011_0212b1a8 kind:function(arm,size=0x2c) addr:0x0212b1a8
_ZN10PlayerBase19func_ov011_0212b1d4Ev kind:function(arm,size=0x3c) addr:0x0212b1d4
_ZN10PlayerBase19func_ov011_0212b210Et kind:function(arm,size=0x48) addr:0x0212b210
_ZN10PlayerBase11setPositionEP7Vec3_32 kind:function(arm,size=0x14) addr:0x0212b258
_ZN10PlayerBase19func_ov011_0212b26cEP5Actor kind:function(arm,size=0x50) addr:0x0212b26c
_ZN10PlayerBase19func_ov011_0212b2bcEv kind:function(arm,size=0xc8) addr:0x0212b2bc
_ZN10PlayerBase19func_ov011_0212b384Es kind:function(arm,size=0x38c) addr:0x0212b384
_ZN10PlayerBase19func_ov011_0212b710Ev kind:function(arm,size=0x30) addr:0x0212b710
_ZN10PlayerBase19func_ov011_0212b740Em kind:function(arm,size=0x7c) addr:0x0212b740
_ZN10PlayerBase19func_ov011_0212b7bcEm kind:function(arm,size=0x34) addr:0x0212b7bc
_ZN10PlayerBase19func_ov011_0212b7f0Em kind:function(arm,size=0x20) addr:0x0212b7f0
_ZN10PlayerBase19func_ov011_0212b810Em kind:function(arm,size=0x10) addr:0x0212b810
_ZN10PlayerBase19func_ov011_0212b820Emmm kind:function(arm,size=0x18) addr:0x0212b820
_ZN10PlayerBase19func_ov011_0212b838EmP7Vec3_32 kind:function(arm,size=0x14) addr:0x0212b838
_ZN10PlayerBase19func_ov011_0212b84cEmmm kind:function(arm,size=0x18) addr:0x0212b84c
_ZN10PlayerBase19func_ov011_0212b864Emm kind:function(arm,size=0x14) addr:0x0212b864
_ZN10PlayerBase19func_ov011_0212b878Et kind:function(arm,size=0x44) addr:0x0212b878
_ZN10PlayerBase19func_ov011_0212b8bcEv kind:function(arm,size=0x4c) addr:0x0212b8bc
_ZN10PlayerBase19func_ov011_0212b908Ev kind:function(arm,size=0x4c) addr:0x0212b908
_ZN10PlayerBase19func_ov011_0212b954Ev kind:function(arm,size=0x30) addr:0x0212b954
_ZN10PlayerBase19func_ov011_0212b984Ev kind:function(arm,size=0x14) addr:0x0212b984
_ZN10PlayerBase19func_ov011_0212b998Ev kind:function(arm,size=0x10) addr:0x0212b998
_ZN10PlayerBase19func_ov011_0212b9a8Ev kind:function(arm,size=0x4) addr:0x0212b9a8
_ZN10PlayerBase19func_ov011_0212b9acEh kind:function(arm,size=0x4c) addr:0x0212b9ac
_ZN10PlayerBase19func_ov011_0212b9f8Eh kind:function(arm,size=0xd0) addr:0x0212b9f8
_ZN10PlayerBase19func_ov011_0212bac8Ev kind:function(arm,size=0xc8) addr:0x0212bac8
_ZN10PlayerBase19func_ov011_0212bb90Ev kind:function(arm,size=0x14) addr:0x0212bb90
_ZN10PlayerBase14getShellStatusEv kind:function(arm,size=0x28) addr:0x0212bba4
_ZN10PlayerBase19func_ov011_0212bbccEv kind:function(arm,size=0x10) addr:0x0212bbcc
_ZN10PlayerBase19func_ov011_0212bbdcEv kind:function(arm,size=0x74) addr:0x0212bbdc
_ZN10PlayerBase19func_ov011_0212bc50El kind:function(arm,size=0x54) addr:0x0212bc50
_ZN10PlayerBase19func_ov011_0212bca4Ev kind:function(arm,size=0xc4) addr:0x0212bca4
_ZN10PlayerBase19func_ov011_0212bd68Emmm kind:function(arm,size=0x50) addr:0x0212bd68
_ZN10PlayerBase19func_ov011_0212bdb8Em kind:function(arm,size=0x28) addr:0x0212bdb8
_ZN10PlayerBase19func_ov011_0212bde0EP5Actor kind:function(arm,size=0x48) addr:0x0212bde0
_ZN10PlayerBase19func_ov011_0212be28Ev kind:function(arm,size=0x48) addr:0x0212be28
_ZN10PlayerBase19func_ov011_0212be70Ev kind:function(arm,size=0x48) addr:0x0212be70
_ZN10PlayerBase19func_ov011_0212beb8Ev kind:function(arm,size=0x48) addr:0x0212beb8
_ZN10PlayerBase19func_ov011_0212bf00Ev kind:function(arm,size=0x24) addr:0x0212bf00
_ZN10PlayerBase19func_ov011_0212bf24Ev kind:function(arm,size=0x4) addr:0x0212bf24
_ZN10PlayerBase19func_ov011_0212bf28Ev kind:function(arm,size=0x28) addr:0x0212bf28
_ZN10PlayerBase19func_ov011_0212bf50Ev kind:function(arm,size=0x8) addr:0x0212bf50
_ZN10PlayerBase19func_ov011_0212bf58Ev kind:function(arm,size=0x8) addr:0x0212bf58
_ZN10PlayerBase19func_ov011_0212bf60Ev kind:function(arm,size=0x4) addr:0x0212bf60
_ZN10PlayerBase19func_ov011_0212bf64Ev kind:function(arm,size=0x8) addr:0x0212bf64
_ZN10PlayerBase19func_ov011_0212bf6cEv kind:function(arm,size=0x44) addr:0x0212bf6c
_ZN10PlayerBase19func_ov011_0212bfb0Ev kind:function(arm,size=0x8) addr:0x0212bfb0
_ZN10PlayerBase19func_ov011_0212bfb8Ev kind:function(arm,size=0x4) addr:0x0212bfb8
_ZN10PlayerBase19func_ov011_0212bfbcEv kind:function(arm,size=0x4) addr:0x0212bfbc
_ZN10PlayerBase19func_ov011_0212bfc0Ev kind:function(arm,size=0x4) addr:0x0212bfc0
_ZN10PlayerBase19func_ov011_0212bfc4Ev kind:function(arm,size=0x8) addr:0x0212bfc4
_ZN10PlayerBase19func_ov011_0212bfccEv kind:function(arm,size=0x8) addr:0x0212bfcc
_ZN10PlayerBase19func_ov011_0212bfd4Ev kind:function(arm,size=0x8) addr:0x0212bfd4
_ZN10PlayerBase19func_ov011_0212bfdcEv kind:function(arm,size=0x8) addr:0x0212bfdc
_ZN10PlayerBase19func_ov011_0212bfe4Ev kind:function(arm,size=0x4) addr:0x0212bfe4
_ZN10PlayerBase19func_ov011_0212bfe8Ev kind:function(arm,size=0x4) addr:0x0212bfe8
_ZN10PlayerBase19func_ov011_0212bfecEv kind:function(arm,size=0x4) addr:0x0212bfec
_ZN10PlayerBase19func_ov011_0212bff0Ev kind:function(arm,size=0x34) addr:0x0212bff0
_ZN10PlayerBase7virt_51Ev kind:function(arm,size=0x4) addr:0x0212c024
_ZN10PlayerBase7virt_50Ev kind:function(arm,size=0x4) addr:0x0212c028
_ZN10PlayerBase7virt_49Ev kind:function(arm,size=0x8) addr:0x0212c02c
_ZN10PlayerBase7virt_48Ev kind:function(arm,size=0x8) addr:0x0212c034
_ZN10PlayerBase7virt_47Ev kind:function(arm,size=0x4) addr:0x0212c03c
_ZN10PlayerBase7virt_46Ev kind:function(arm,size=0x8) addr:0x0212c040
_ZN10PlayerBase7virt_45Ev kind:function(arm,size=0x8) addr:0x0212c048
_ZN10PlayerBase7virt_44Ev kind:function(arm,size=0x8) addr:0x0212c050
_ZN10PlayerBase7virt_43Ev kind:function(arm,size=0x4) addr:0x0212c058
_ZN10PlayerBase7virt_42Ev kind:function(arm,size=0x4) addr:0x0212c05c
_ZN10PlayerBase7virt_41Ev kind:function(arm,size=0x8) addr:0x0212c060
_ZN10PlayerBase7virt_40Ev kind:function(arm,size=0x8) addr:0x0212c068
_ZN10PlayerBase7virt_39Ev kind:function(arm,size=0x8) addr:0x0212c070
_ZN10PlayerBase7virt_38Ev kind:function(arm,size=0x8) addr:0x0212c078
