func_ov012_0212ae00 kind:function(arm,size=0x5c) addr:0x0212ae00
func_ov012_0212ae5c kind:function(arm,size=0x64) addr:0x0212ae5c
func_ov012_0212aec0 kind:function(arm,size=0x38) addr:0x0212aec0
func_ov012_0212aef8 kind:function(arm,size=0x4) addr:0x0212aef8
func_ov012_0212aefc kind:function(arm,size=0x260) addr:0x0212aefc
func_ov012_0212b15c kind:function(arm,size=0x118) addr:0x0212b15c
func_ov012_0212b274 kind:function(arm,size=0x1e4) addr:0x0212b274
func_ov012_0212b458 kind:function(arm,size=0x120) addr:0x0212b458
func_ov012_0212b578 kind:function(arm,size=0x40) addr:0x0212b578
func_ov012_0212b5b8 kind:function(arm,size=0xdc) addr:0x0212b5b8
func_ov012_0212b694 kind:function(arm,size=0xbc) addr:0x0212b694
func_ov012_0212b750 kind:function(arm,size=0x40) addr:0x0212b750
func_ov012_0212b790 kind:function(arm,size=0x148) addr:0x0212b790
func_ov012_0212b8d8 kind:function(arm,size=0x2c0) addr:0x0212b8d8
func_ov012_0212bb98 kind:function(arm,size=0x48) addr:0x0212bb98
func_ov012_0212bbe0 kind:function(arm,size=0x8c) addr:0x0212bbe0
func_ov012_0212bc6c kind:function(arm,size=0x6c) addr:0x0212bc6c
func_ov012_0212bcd8 kind:function(arm,size=0x30) addr:0x0212bcd8
func_ov012_0212bd08 kind:function(arm,size=0x4) addr:0x0212bd08
func_ov012_0212bd0c kind:function(arm,size=0x4) addr:0x0212bd0c
func_ov012_0212bd10 kind:function(arm,size=0x68) addr:0x0212bd10
func_ov012_0212bd78 kind:function(arm,size=0x68) addr:0x0212bd78
func_ov012_0212bde0 kind:function(arm,size=0x44) addr:0x0212bde0
func_ov012_0212be24 kind:function(arm,size=0x4c) addr:0x0212be24
func_ov012_0212be70 kind:function(arm,size=0x8) addr:0x0212be70
func_ov012_0212be78 kind:function(arm,size=0x4) addr:0x0212be78
func_ov012_0212be7c kind:function(arm,size=0xf8) addr:0x0212be7c
func_ov012_0212bf74 kind:function(arm,size=0x20) addr:0x0212bf74
